repo,pr_id,ast_node_count,cfg_node_count,ast_density,cfg_density
pytorch/pytorch,188719,107,107,5.095238095238095,5.095238095238095
pytorch/pytorch,188703,30,30,15.0,15.0
pytorch/pytorch,188702,29,23,1.7058823529411764,1.3529411764705883
pytorch/pytorch,188701,42,42,1.0,1.0
pytorch/pytorch,188700,39,39,4.875,4.875
pytorch/pytorch,188699,249,210,1.456140350877193,1.2280701754385965
pytorch/pytorch,188698,671,671,3.2259615384615383,3.2259615384615383
pytorch/pytorch,188695,74,61,1.2333333333333334,1.0166666666666666
pytorch/pytorch,188694,359,353,1.1506410256410255,1.1314102564102564
pytorch/pytorch,188685,269,243,1.68125,1.51875
pytorch/pytorch,188682,44,43,2.0,1.9545454545454546
pytorch/pytorch,188681,41,41,0.7884615384615384,0.7884615384615384
pytorch/pytorch,188679,8,8,0.8,0.8
pytorch/pytorch,188673,0,0,0.0,0.0
pytorch/pytorch,188671,6,6,1.0,1.0
pytorch/pytorch,188667,102,102,0.8869565217391304,0.8869565217391304
pytorch/pytorch,188666,23,23,11.5,11.5
pytorch/pytorch,188665,12,12,12.0,12.0
pytorch/pytorch,188664,27,27,9.0,9.0
pytorch/pytorch,188663,25,25,0.9615384615384616,0.9615384615384616
pytorch/pytorch,188662,8,8,1.0,1.0
pytorch/pytorch,188661,181,180,7.24,7.2
pytorch/pytorch,188660,283,283,4.639344262295082,4.639344262295082
pytorch/pytorch,188659,137,119,1.2685185185185186,1.1018518518518519
pytorch/pytorch,188657,33,33,0.8048780487804879,0.8048780487804879
pytorch/pytorch,188656,45,45,1.0,1.0
pytorch/pytorch,188654,98,82,1.4,1.1714285714285715
pytorch/pytorch,188653,118,118,1.5733333333333333,1.5733333333333333
pytorch/pytorch,188651,1,1,1.0,1.0
pytorch/pytorch,188649,169,169,2.640625,2.640625
pytorch/pytorch,188647,237,237,7.40625,7.40625
pytorch/pytorch,188646,93,93,9.3,9.3
pytorch/pytorch,188645,174,117,2.9,1.95
pytorch/pytorch,188644,116,116,2.8292682926829267,2.8292682926829267
pytorch/pytorch,188643,1070,985,2.3516483516483517,2.1648351648351647
pytorch/pytorch,188642,35,35,11.666666666666666,11.666666666666666
pytorch/pytorch,188641,291,291,8.083333333333334,8.083333333333334
pytorch/pytorch,188640,3,3,0.75,0.75
pytorch/pytorch,188639,675,675,3.7709497206703912,3.7709497206703912
pytorch/pytorch,188638,469,469,5.043010752688172,5.043010752688172
pytorch/pytorch,188637,1306,1306,3.8985074626865672,3.8985074626865672
pytorch/pytorch,188636,46,46,0.9387755102040817,0.9387755102040817
pytorch/pytorch,188634,24,24,0.8571428571428571,0.8571428571428571
pytorch/pytorch,188633,42,40,1.5555555555555556,1.4814814814814814
pytorch/pytorch,188632,164,164,5.857142857142857,5.857142857142857
pytorch/pytorch,188631,164,164,3.727272727272727,3.727272727272727
pytorch/pytorch,188630,353,341,1.7918781725888324,1.7309644670050761
pytorch/pytorch,188626,80,71,1.25,1.109375
pytorch/pytorch,188625,90,81,1.139240506329114,1.0253164556962024
pytorch/pytorch,188624,1,1,1.0,1.0
pytorch/pytorch,188623,160,158,6.666666666666667,6.583333333333333
pytorch/pytorch,188622,217,217,3.390625,3.390625
pytorch/pytorch,188621,1547,1543,3.0633663366336634,3.0554455445544555
pytorch/pytorch,188620,1,1,1.0,1.0
pytorch/pytorch,188619,28,21,2.0,1.5
pytorch/pytorch,188618,190,169,1.1875,1.05625
pytorch/pytorch,188617,0,0,0.0,0.0
pytorch/pytorch,188616,12,10,1.5,1.25
pytorch/pytorch,188615,93,93,9.3,9.3
pytorch/pytorch,188614,30,30,0.8823529411764706,0.8823529411764706
pytorch/pytorch,188613,301,277,3.01,2.77
pytorch/pytorch,188612,36,36,2.769230769230769,2.769230769230769
pytorch/pytorch,188611,22,21,2.75,2.625
pytorch/pytorch,188610,1549,1549,4.917460317460318,4.917460317460318
pytorch/pytorch,188609,47,44,1.119047619047619,1.0476190476190477
pytorch/pytorch,188608,25,20,1.4705882352941178,1.1764705882352942
