repo,pr_id,file_count,total_additions,total_deletions,commit_message_length,pr_description_length,reviewer_count,comment_count,has_ai_reviewer,label_count,pr_length,modified_function_count,ast_node_count,cfg_node_count,ast_density,cfg_density,merged
pytorch/pytorch,188858,1,1,1,26,106,0,0,False,1,141,0,7,7,7.0,7.0,False
pytorch/pytorch,188857,2,34,2,931,1152,0,0,False,1,1218,1,147,140,4.323529411764706,4.117647058823529,False
pytorch/pytorch,188856,2,26,0,1936,1936,0,0,False,1,2014,1,84,80,3.230769230769231,3.076923076923077,False
pytorch/pytorch,188855,1,1,0,65,58,0,0,False,3,123,0,1,1,1.0,1.0,False
pytorch/pytorch,188854,1,27,63,26,986,1,0,False,5,1046,3,157,157,5.814814814814815,5.814814814814815,False
pytorch/pytorch,188853,2,56,17,26,2597,0,0,False,4,2662,3,90,90,1.9565217391304348,1.9565217391304348,False
pytorch/pytorch,188852,1,1,1,8,2121,0,0,False,5,2177,0,23,23,23.0,23.0,False
pytorch/pytorch,188850,1,1,1,26,662,1,0,False,4,743,0,1,1,1.0,1.0,False
pytorch/pytorch,188849,2,644,0,104,4232,0,0,False,1,4268,43,4223,4223,5.18159509202454,5.18159509202454,False
pytorch/pytorch,188848,2,700,0,26,3656,0,0,False,0,3692,37,2997,2997,4.281428571428571,4.281428571428571,False
pytorch/pytorch,188847,2,700,0,26,3656,0,0,False,0,3692,37,2997,2997,4.281428571428571,4.281428571428571,False
pytorch/pytorch,188846,1,4,4,471,1109,0,0,False,3,1169,0,4,4,1.0,1.0,False
pytorch/pytorch,188845,1,3,1,120,299,2,0,False,9,394,0,3,3,1.0,1.0,False
pytorch/pytorch,188844,2,700,0,26,3676,0,0,False,0,3759,37,2997,2997,4.281428571428571,4.281428571428571,False
pytorch/pytorch,188843,4,164,12,82,2679,0,0,False,2,2749,5,215,184,1.3109756097560976,1.1219512195121952,False
pytorch/pytorch,188842,1,43,15,52,1091,0,0,False,1,1160,2,43,43,1.0,1.0,False
pytorch/pytorch,188839,2,24,2,63,1248,1,1,False,2,1311,2,194,194,8.083333333333334,8.083333333333334,False
pytorch/pytorch,188838,1,4,1,8,238,3,0,False,7,323,1,42,42,10.5,10.5,False
pytorch/pytorch,188834,2,67,25,78,352,0,0,False,5,424,4,227,227,2.121495327102804,2.121495327102804,False
pytorch/pytorch,188832,1,9,2,842,696,3,0,True,2,771,0,15,15,1.0,1.0,False
pytorch/pytorch,188831,1,18,8,115,1158,1,2,True,5,1205,3,137,137,7.611111111111111,7.611111111111111,False
pytorch/pytorch,188830,2,20,2,888,3686,2,2,False,6,3729,1,73,73,3.65,3.65,False
pytorch/pytorch,188828,1,1,1,509,808,0,0,False,2,872,0,35,35,35.0,35.0,False
pytorch/pytorch,188827,1,2,3,152,68,1,0,False,3,153,1,2,2,1.0,1.0,False
pytorch/pytorch,188826,1,2,3,152,68,1,0,False,1,153,1,2,2,1.0,1.0,False
pytorch/pytorch,188825,3,256,5,104,352,0,0,False,5,422,28,1029,1029,3.675,3.675,False
pytorch/pytorch,188824,1,322,0,78,352,0,0,False,4,402,34,266,266,0.8235294117647058,0.8235294117647058,False
pytorch/pytorch,188823,2,100,11,26,2776,0,0,False,4,2849,3,93,93,0.93,0.93,False
pytorch/pytorch,188822,3,229,73,26,2271,0,0,False,4,2347,9,210,194,1.09375,1.0104166666666667,False
pytorch/pytorch,188820,3,104,59,52,517,1,0,False,1,559,5,255,255,2.451923076923077,2.451923076923077,False
pytorch/pytorch,188819,6,113,14,26,127,2,0,False,3,181,0,176,161,1.543859649122807,1.412280701754386,False
pytorch/pytorch,188818,1,12,2,52,1200,0,0,False,7,1245,0,39,39,3.25,3.25,False
pytorch/pytorch,188817,2,2,2,26,243,1,0,True,3,278,0,2,2,1.0,1.0,False
pytorch/pytorch,188815,3,13,19,831,815,0,0,False,2,879,0,23,18,1.7692307692307692,1.3846153846153846,False
pytorch/pytorch,188814,11,11,11,26,373,0,0,False,3,464,0,11,11,1.0,1.0,False
pytorch/pytorch,188811,2,17,2,53,540,0,0,False,5,593,1,44,44,2.588235294117647,2.588235294117647,False
pytorch/pytorch,188808,2,5,0,26,376,1,0,False,5,410,0,37,34,7.4,6.8,False
pytorch/pytorch,188807,1,10,11,707,1702,0,0,False,2,1751,0,6,6,0.6,0.6,False
pytorch/pytorch,188805,1,5,3,34,748,1,1,False,1,823,0,5,5,1.0,1.0,False
pytorch/pytorch,188804,10,265,6,3154,984,0,0,False,3,1058,15,909,866,3.430188679245283,3.267924528301887,False
pytorch/pytorch,188802,10,951,45,59,18085,0,0,False,5,18122,9,1494,1190,1.6221498371335503,1.292073832790445,False
pytorch/pytorch,188801,2,33,2,85,689,1,1,False,4,774,1,75,72,2.2058823529411766,2.117647058823529,False
pytorch/pytorch,188800,1,2,0,1505,1278,1,1,False,5,1338,0,4,3,2.0,1.5,False
